activity_id,name,category,sector,source,unit_type
waste-type_fruits_and_vegetables-disposal_method_anaerobically_digested_wet_digestate_with_curing,Fruits and Vegetables - Anaerobically Digested (Wet Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_fruits_and_vegetables-disposal_method_combusted,Fruits and Vegetables - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_fruits_and_vegetables-disposal_method_composted,Fruits and Vegetables - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_fruits_and_vegetables-disposal_method_landfilled,Fruits and Vegetables - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_furniture_average-disposal_method_average_end_of_life,Furniture: average - Average end of life,General Waste,Waste,ADEME,Weight
waste-type_furniture_bedding-disposal_method_average_end_of_life,Furniture: bedding - Average end of life,General Waste,Waste,ADEME,Weight
waste-type_furniture_padded_seating-disposal_method_average_end_of_life,Furniture: padded seating - Average end of life,General Waste,Waste,ADEME,Weight
waste-type_furniture_wooden-disposal_method_average_end_of_life,Furniture: wooden - Average end of life,General Waste,Waste,ADEME,Weight
waste-type_garden-disposal_method_landfill_with_gas_recovery,Garden - waste to landfill with gas recovery,Food and Organic Waste,Waste,MfE,Weight
waste-type_garden-disposal_method_landfill_without_gas_recovery,Garden - waste to landfill without gas recovery,Food and Organic Waste,Waste,MfE,Weight
waste-type_garden_and_park_waste-disposal_method_incineration,Garden and park waste - incineration,General Waste,Waste,SEFR,Weight
waste-type_general_waste-disposal_method_landfill_with_gas_recovery,General waste - waste to landfill with gas recovery,General Waste,Waste,MfE,Weight
waste-type_general_waste-disposal_method_landfill_without_gas_recovery,General waste - waste to landfill without gas recovery,General Waste,Waste,MfE,Weight
waste-type_glass-disposal_method_closed_loop,Glass waste disposal (to closed-loop recycling),Glass Waste,Waste,BEIS,Weight
waste-type_glass-disposal_method_combusted,Glass - Combusted,Glass Waste,Waste,EPA,Weight
waste-type_glass-disposal_method_combustion,Glass waste disposal (combustion),Glass Waste,Waste,BEIS,Weight
waste-type_glass-disposal_method_landfill,Glass waste disposal (landfill),Glass Waste,Waste,BEIS,Weight
waste-type_glass-disposal_method_landfilled,Glass - Landfilled,Glass Waste,Waste,EPA,Weight
waste-type_glass-disposal_method_open_loop,Glass waste disposal (to open-loop recycling),Glass Waste,Waste,BEIS,Weight
waste-type_glass-disposal_method_recycled,Glass - Recycled,Glass Waste,Waste,EPA,Weight
waste-type_glass_waste-disposal_method_incineration,Glass waste - incineration,Glass Waste,Waste,SEFR,Weight
waste-type_grains-disposal_method_anaerobically_digested_dry_digestate_with_curing,Grains - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_grains-disposal_method_anaerobically_digested_wet_digestate_with_curing,Grains - Anaerobically Digested (Wet Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_grains-disposal_method_combusted,Grains - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_grains-disposal_method_composted,Grains - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_grains-disposal_method_landfilled,Grains - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_grass-disposal_method_anaerobically_digested_dry_digestate_with_curing,Grass - Anaerobically Digested (Dry Digestate with Curing),Food and Organic Waste,Waste,EPA,Weight
waste-type_grass-disposal_method_combusted,Grass - Combusted,Food and Organic Waste,Waste,EPA,Weight
waste-type_grass-disposal_method_composted,Grass - Composted,Food and Organic Waste,Waste,EPA,Weight
waste-type_grass-disposal_method_landfilled,Grass - Landfilled,Food and Organic Waste,Waste,EPA,Weight
waste-type_green_waste-disposal_method_home_composting_in_heap,Green waste - Home composting in heap,Food and Organic Waste,Waste,ADEME,Weight
waste-type_hard_copy_devices-disposal_method_combusted,Hard-copy Devices - Combusted,Electrical Waste,Waste,EPA,Weight
waste-type_hard_copy_devices-disposal_method_landfilled,Hard-copy Devices - Landfilled,Electrical Waste,Waste,EPA,Weight
waste-type_hard_copy_devices-disposal_method_recycled,Hard-copy Devices - Recycled,Electrical Waste,Waste,EPA,Weight
waste-type_hazardous_industrial_waste-disposal_method_incineration,Hazardous industrial waste - Incineration,General Waste,Waste,ADEME,Weight
waste-type_hdpe-disposal_method_combusted,HDPE - Combusted,Plastic Waste,Waste,EPA,Weight
waste-type_hdpe-disposal_method_landfilled,HDPE - Landfilled,Plastic Waste,Waste,EPA,Weight
waste-type_hdpe-disposal_method_recycled,HDPE - Recycled,Plastic Waste,Waste,EPA,Weight
waste-type_hdpe_including_forming-disposal_method_closed_loop,HDPE waste (incl. forming) disposal - closed-loop,Plastic Waste,Waste,BEIS,Weight
waste-type_hdpe_including_forming-disposal_method_combustion,HDPE waste (incl. forming) disposal - combustion,Plastic Waste,Waste,BEIS,Weight
waste-type_hdpe_including_forming-disposal_method_landfill,HDPE waste (incl. forming) disposal - landfill,Plastic Waste,Waste,BEIS,Weight
waste-type_hdpe_including_forming-disposal_method_open_loop,HDPE waste (incl. forming) disposal - open-loop,Plastic Waste,Waste,BEIS,Weight
waste-type_household_residual_waste-disposal_method_anaerobic_digestion,Household residual waste disposal (anaerobic digestion),General Waste,Waste,BEIS,Weight
waste-type_household_residual_waste-disposal_method_closed_loop,Household residual waste disposal (to closed-loop recycling),General Waste,Waste,BEIS,Weight
waste-type_household_residual_waste-disposal_method_combustion,Household residual waste disposal (combustion),General Waste,Waste,BEIS,Weight
waste-type_household_residual_waste-disposal_method_composting,Household residual waste disposal (composting),General Waste,Waste,BEIS,Weight
waste-type_household_residual_waste-disposal_method_landfill,Household residual waste disposal (landfill),General Waste,Waste,BEIS,Weight
