activity_id,name,category,sector,source,unit_type
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_lt_1350cc-vehicle_age_post_2015-vehicle_weight_na,Petrol LCV (<1350cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_na-vehicle_age_na-vehicle_weight_na,LCV - Petrol - default factor,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol-engine_size_na-vehicle_age_post_2015-vehicle_weight_na,Petrol LCV (average) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gt_1350cc_lt_1600cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol hybrid (1350-1600cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gt_1350cc_lt_1600cc-vehicle_age_post_2015-vehicle_weight_na,Petrol hybrid LCV (1350-1600cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gt_1600cc_lt_2000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol hybrid (1600-2000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gt_1600cc_lt_2000cc-vehicle_age_post_2015-vehicle_weight_na,Petrol hybrid LCV (1600-2000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gt_2000cc_lt_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol hybrid (2000-3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gt_2000cc_lt_3000cc-vehicle_age_post_2015-vehicle_weight_na,Petrol hybrid LCV (2000-3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gt_3000cc-vehicle_age_post_2015-vehicle_weight_na,Petrol hybrid LCV (>3000cc) post-2015,Vehicles,Transport,MfE,Distance
commercial_vehicle-vehicle_type_lcv-fuel_source_petrol_hev-engine_size_gte_3000cc-vehicle_age_post_2015-vehicle_weight_na,LCV - Petrol hybrid (>3000cc) post-2015,Vehicles,Transport,MfE,Distance
